Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Belize,Americas,5743,14443.15,560,96,147,369.69,31,3,Community transmission
Uruguay,Americas,5716,1645.49,1017,205,76,21.88,5,1,Clusters of cases
Djibouti,Eastern Mediterranean,5679,5747.98,11,2,61,61.74,0,0,Clusters of cases
Martinique,Americas,5486,14619,395,73,40,106.59,1,0,Community transmission
Iceland,Europe,5381,15768.82,104,10,26,76.19,0,0,Community transmission
Guyana,Americas,5376,6834.89,243,38,150,190.71,7,1,Clusters of cases
Suriname,Americas,5312,9055.08,16,0,117,199.44,1,0,Sporadic cases
Mayotte,Africa,5181,18990.89,59,0,49,179.61,0,0,Clusters of cases
Equatorial Guinea,Africa,5153,3672.88,16,0,85,60.59,0,0,Community transmission
Central African Republic,Africa,4918,1018.27,7,5,63,13.04,0,0,Community transmission
Aruba,Americas,4838,45314.05,107,47,45,421.48,0,0,Community transmission
Mali,Africa,4688,231.5,362,0,152,7.51,6,0,Community transmission
Nicaragua,Americas,4629,698.76,46,0,160,24.15,1,0,Community transmission
Somalia,Eastern Mediterranean,4451,280.06,6,0,113,7.11,0,0,Sporadic cases
Thailand,South-East Asia,3998,57.28,76,21,60,0.86,0,0,Clusters of cases
Gambia,Africa,3742,1548.41,16,8,123,50.9,0,0,Community transmission
South Sudan,Africa,3109,277.74,62,5,61,5.45,1,0,Community transmission
Benin,Africa,3015,248.7,99,41,43,3.55,0,0,Community transmission
Togo,Africa,2946,355.85,117,0,64,7.73,0,0,Community transmission
Burkina Faso,Africa,2886,138.06,132,30,68,3.25,0,0,Community transmission
Guinea-Bissau,Africa,2422,1230.69,0,0,43,21.85,0,0,Community transmission
Sierra Leone,Africa,2412,302.37,6,1,74,9.28,0,0,Community transmission
Curaçao,Americas,2364,14406.46,615,318,4,24.38,1,1,Community transmission
Lesotho,Africa,2109,984.48,24,0,44,20.54,0,0,Community transmission
Yemen,Eastern Mediterranean,2081,69.77,5,0,606,20.32,1,0,Sporadic cases
New Zealand,Western Pacific,1703,353.16,28,3,25,5.18,0,0,Clusters of cases
Chad,Africa,1688,102.76,40,6,101,6.15,0,0,Community transmission
San Marino,Europe,1609,47409.98,181,23,45,1325.95,1,0,Community transmission
Liberia,Africa,1598,315.96,44,0,83,16.41,1,0,Community transmission
Niger,Africa,1548,63.95,167,32,72,2.97,2,2,Community transmission
United States Virgin Islands,Americas,1544,14785.73,40,0,23,220.25,0,0,Community transmission
Viet Nam,Western Pacific,1347,13.84,35,4,35,0.36,0,0,Clusters of cases
Liechtenstein,Europe,1273,33379.66,161,0,15,393.32,7,0,Sporadic cases
Sint Maarten,Americas,1066,24858.92,59,25,25,583,0,0,Community transmission
Gibraltar,Europe,1009,29948.65,56,10,5,148.41,2,0,Clusters of cases
Sao Tome and Principe,Africa,991,4521.83,10,2,17,77.57,0,0,Community transmission
Jersey,Europe,923,8483.46,117,0,32,294.12,0,0,Community transmission
Mongolia,Western Pacific,791,241.28,151,7,0,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,748,19319.18,2,0,6,154.97,0,0,Clusters of cases
Saint Martin,Americas,744,19245.2,54,54,12,310.41,0,0,Community transmission
Other,Other,741,,0,0,13,,0,0,Not applicable
Burundi,Africa,689,57.94,16,1,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,656,73.32,44,1,7,0.78,0,0,Community transmission
Comoros,Africa,611,702.62,15,1,7,8.05,0,0,Community transmission
Monaco,Europe,608,15492.81,26,1,3,76.44,0,0,Sporadic cases
Eritrea,Africa,577,162.7,19,0,0,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Mauritius,Africa,504,396.3,13,3,10,7.86,0,0,Clusters of cases
Faroe Islands,Europe,502,10273.2,2,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,410,531.36,24,14,0,0,0,0,Sporadic cases
Isle of Man,Europe,369,4339.54,1,0,25,294.01,0,0,No cases
Cambodia,Western Pacific,326,19.5,20,3,0,0,0,0,Sporadic cases
Guernsey,Europe,286,4525.6,3,0,13,205.71,0,0,Community transmission
Barbados,Americas,276,960.42,17,1,7,24.36,0,0,Clusters of cases
Cayman Islands,Americas,274,4169.2,13,0,2,30.43,0,0,Sporadic cases
Bermuda,Americas,260,4175.16,33,9,9,144.52,0,0,Clusters of cases
Saint Lucia,Americas,257,1399.58,34,5,2,10.89,0,0,Sporadic cases
Seychelles,Africa,172,1748.91,11,0,0,0,0,0,Sporadic cases
"Bonaire, Sint Eustatius and Saba",Americas,162,6178.25,1,1,3,114.41,0,0,Sporadic cases
Saint Barthélemy,Americas,152,15376.83,25,25,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,150,342.87,1,0,3,6.86,0,0,No cases
Antigua and Barbuda,Americas,141,1439.82,2,0,4,40.85,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,106,1841.65,2,1,2,34.75,0,0,Pending
Dominica,Americas,85,1180.7,8,0,0,0,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,85,766.18,1,0,0,0,0,0,Sporadic cases
British Virgin Islands,Americas,73,2414.26,1,0,1,33.07,0,0,Clusters of cases
Fiji,Western Pacific,42,46.85,7,4,2,2.23,0,0,Sporadic cases
Grenada,Americas,41,364.37,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,39,5.36,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,33,115.59,1,1,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,30,22.75,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,22,413.6,2,0,0,0,0,0,Sporadic cases
Greenland,Europe,18,317.06,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,17,4880.85,1,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,6,399.95,2,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,3,266.76,1,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
